transaction_id,amount,merchant_category,date,currency,status
TXN001,125.50,Retail,2024-12-15 10:30:00,USD,COMPLETED
TXN002,89.99,Food,2024-12-15 12:45:00,USD,COMPLETED
TXN003,250.00,Transport,2024-12-15 14:20:00,EUR,COMPLETED
TXN004,15.75,Coffee,2024-12-15 08:15:00,USD,COMPLETED
TXN005,450.00,Electronics,2024-12-16 09:00:00,USD,COMPLETED
TXN006,45.00,Groceries,2024-12-16 11:30:00,USD,COMPLETED
TXN007,120.00,Retail,2024-12-16 15:45:00,GBP,COMPLETED
TXN008,67.50,Food,2024-12-16 19:00:00,USD,COMPLETED
TXN009,290.00,Travel,2024-12-17 06:30:00,EUR,COMPLETED
TXN010,22.00,Coffee,2024-12-17 07:45:00,USD,COMPLETED
TXN011,175.25,Groceries,2024-12-17 10:15:00,USD,COMPLETED
TXN012,55.00,Transport,2024-12-17 12:00:00,USD,COMPLETED
TXN013,500.00,Electronics,2024-12-18 14:30:00,USD,COMPLETED
TXN014,38.99,Food,2024-12-18 18:45:00,USD,COMPLETED
TXN015,95.00,Entertainment,2024-12-18 20:00:00,USD,COMPLETED
TXN016,220.00,Retail,2024-12-19 11:00:00,USD,COMPLETED
TXN017,12.50,Coffee,2024-12-19 08:30:00,USD,COMPLETED
TXN018,380.00,Travel,2024-12-19 16:00:00,GBP,COMPLETED
TXN019,200.00,Groceries,2024-12-20 09:45:00,USD,COMPLETED
TXN020,65.00,Food,2024-12-20 13:30:00,USD,COMPLETED
