transaction_id,amount,merchant_category,date,currency,status
TXN001,125.50,Retail,2024-12-15 10:30:00,USD,COMPLETED
TXN001,89.99,Food,2024-12-15 12:45:00,USD,COMPLETED
TXN003,250.00,Transport,2024-12-15 14:20:00,EUR,COMPLETED
TXN001,15.75,Coffee,2024-12-15 08:15:00,USD,COMPLETED
TXN005,1250.00,Electronics,2024-12-16 09:00:00,USD,COMPLETED
TXN005,45.00,Groceries,2024-12-16 11:30:00,USD,COMPLETED
TXN007,320.00,Retail,2024-12-16 15:45:00,GBP,PENDING
TXN007,67.50,Food,2024-12-16 19:00:00,USD,COMPLETED
TXN009,890.00,Travel,2024-12-17 06:30:00,EUR,COMPLETED
TXN009,22.00,Coffee,2024-12-17 07:45:00,USD,COMPLETED
TXN011,175.25,Groceries,2024-12-17 10:15:00,USD,COMPLETED
TXN011,55.00,Transport,2024-12-17 12:00:00,USD,COMPLETED
TXN013,1500.00,Electronics,2024-12-18 14:30:00,USD,COMPLETED
TXN013,38.99,Food,2024-12-18 18:45:00,USD,COMPLETED
TXN015,95.00,Entertainment,2024-12-18 20:00:00,USD,COMPLETED
