transaction_id,amount,merchant_category,date,currency,status
TXN001,125.50,Retail,2024-12-15 10:30:00,USD,COMPLETED
TXN002,89.99,Food,2024-12-15 12:45:00,USD,COMPLETED
TXN003,75000.00,Coffee,2024-12-15 14:20:00,EUR,COMPLETED
TXN004,-150.00,Coffee,2024-12-15 08:15:00,USD,COMPLETED
TXN005,999999.99,Electronics,2024-12-16 09:00:00,USD,COMPLETED
TXN006,45.00,Groceries,2024-12-16 11:30:00,USD,COMPLETED
TXN007,50000.00,Coffee,2024-12-16 15:45:00,GBP,PENDING
TXN008,-500.00,Food,2024-12-16 19:00:00,USD,COMPLETED
TXN009,890.00,Travel,2024-12-17 06:30:00,EUR,COMPLETED
TXN010,22.00,Coffee,2024-12-17 07:45:00,USD,COMPLETED
TXN011,250000.00,Groceries,2024-12-17 10:15:00,USD,COMPLETED
TXN012,-25.00,Transport,2024-12-17 12:00:00,USD,COMPLETED
TXN013,85000.00,Electronics,2024-12-18 14:30:00,USD,COMPLETED
TXN014,38.99,Food,2024-12-18 18:45:00,USD,COMPLETED
TXN015,95.00,Entertainment,2024-12-18 20:00:00,USD,COMPLETED
