transaction_id,amount,merchant_category,date,currency,status
TXN001,125.50,TESTDATA,2024-12-15 10:30:00,USD,COMPLETED
TXN002,89.99,Food,invalid_date,USD,COMPLETED
TXN003,-250.00,Transport,2024-12-15 14:20:00,XXX,COMPLETED
TXN004,N/A,Coffee,2024-12-15 08:15:00,USD,COMPLETED
TXN005,1250.00,TBD,2030-12-16 09:00:00,USD,COMPLETED
TXN006,45.00,Groceries,2024-12-16 11:30:00,INVALID,UNKNOWN
TXN007,320.00,PLACEHOLDER,2024-12-16 15:45:00,GBP,PENDING
TXN008,-67.50,TEMP,not_a_date,USD,FAILED
,890.00,Travel,2024-12-17 06:30:00,EUR,COMPLETED
TXN010,22.00,Coffee,2024-12-17 07:45:00,,COMPLETED
TXN010,175.25,XXX_TEST,2024-12-17 10:15:00,USD,COMPLETED
TXN012,,Transport,2024-12-17 12:00:00,USD,
TXN013,1500.00,Electronics,2035-01-01 14:30:00,USD,COMPLETED
TXN014,38.99,,2024-12-18 18:45:00,USD,COMPLETED
TXN015,-95.00,Entertainment,bad_date,ZZZ,CANCELLED
